Property Ref,Added On,Last Updated,Market Status,Type,Bedrooms,Bathrooms,Toilets,Parking Spaces,Furnishing,Price,District,State,Servicing,Service Charge,Total Area,Covered Area
2807745,07 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,2,5,4,,200000000.0,Galadimawa,Abuja,,,450 sqm,300 sqm
2824937,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,5,,,,,400000000.0,Ikeja,Lagos,,,,
2699141,03 Feb 2025,17 Apr 2025,Available,Detached Duplex,6,,,,,320000000.0,Surulere,Lagos,,,415 sqm,
2824931,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,3,4,,,430000000.0,Lekki,Lagos,,,,
2824896,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,4800000000.0,Ikoyi,Lagos,,,600 sqm,
2824893,17 Apr 2025,18 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,140000000.0,Lekki,Lagos,,,500 sqm,500 sqm
2822758,16 Apr 2025,19 Apr 2025,Available,Semi-detached Duplex,4,5,5,6,,250000000.0,Lekki,Lagos,,,"474,600 sqm","474,600 sqm"
2824886,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,6,6,3,,160000000.0,Garki,Abuja,,,,
2824882,17 Apr 2025,18 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,140000000.0,Lekki,Lagos,,,500 sqm,500 sqm
2775561,18 Mar 2025,17 Apr 2025,Available,Terraced Duplex,5,5,6,3,,2888466705.0,Ikoyi,Lagos,,,"2,500 sqm",250 sqm
2778062,20 Mar 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,3,,230000000.0,Ajah,Lagos,,,800 sqm,350 sqm
2771059,16 Mar 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,550000000.0,Lekki,Lagos,,,500 sqm,200 sqm
2771896,17 Mar 2025,17 Apr 2025,Available,Detached Duplex,5,,6,,,400000000.0,Lekki,Lagos,,,5 sqm,3 sqm
2708065,07 Feb 2025,19 Apr 2025,Available,Terraced Duplex,3,3,4,2,,70000000.0,Ajah,Lagos,,,700 sqm,200 sqm
2770256,15 Mar 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,135000000.0,Ajah,Lagos,,,800 sqm,250 sqm
2677615,23 Jan 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,2,,120000000.0,Ajah,Lagos,,,300 sqm,150 sqm
2699694,03 Feb 2025,17 Apr 2025,Available,Semi-detached Duplex,5,5,6,2,,145000000.0,Ajah,Lagos,,,700 sqm,250 sqm
2627767,19 Dec 2024,17 Apr 2025,Available,Terraced Duplex,4,4,5,2,,100000000.0,Lekki,Lagos,,,"4,000 sqm",250 sqm
2621527,15 Dec 2024,19 Apr 2025,Available,Semi-detached Duplex,4,4,5,2,,160000000.0,Lekki,Lagos,,,"1,500 sqm",300 sqm
2609441,06 Dec 2024,19 Apr 2025,Available,Detached Duplex,5,5,6,6,,1100000000.0,Lekki,Lagos,,,500 sqm,150 sqm
2600244,01 Dec 2024,17 Apr 2025,Available,Detached Duplex,5,5,6,8,,1700000000.0,Lekki,Lagos,,,675 sqm,200 sqm
2566517,12 Nov 2024,19 Apr 2025,Available,Detached Duplex,5,5,6,4,,380000000.0,Lekki,Lagos,,,492 sqm,150 sqm
2567314,13 Nov 2024,19 Apr 2025,Available,Detached Duplex,5,5,6,6,,750000000.0,Lekki,Lagos,,,500 sqm,200 sqm
2510153,12 Oct 2024,19 Apr 2025,Available,Detached Duplex,5,5,6,5,,400000000.0,Lekki,Lagos,,,480 sqm,200 sqm
2319531,23 Jun 2024,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,950000000.0,Lekki,Lagos,,,480 sqm,150 sqm
2254138,14 May 2024,17 Apr 2025,Available,Detached Duplex,5,5,6,5,,550000000.0,Ajah,Lagos,,,600 sqm,200 sqm
2824874,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,6,6,4,,550000000.0,Guzape District,Abuja,,,,
2582179,20 Nov 2024,24 Mar 2025,Available,Detached Bungalow,3,3,4,2,,35000000.0,Ibadan,Oyo,,,,
2813237,10 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,5,6,3,,330000000.0,Lekki,Lagos,,,400 sqm,150 sqm
2824873,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,4,4,5,,,80000000.0,Ajah,Lagos,,,,
2817997,13 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,3,,65000000.0,Ajah,Lagos,,,"4,000 sqm",250 sqm
2824870,17 Apr 2025,18 Apr 2025,Available,Semi-detached Duplex,4,,5,,Furnished,118000000.0,Ipaja,Lagos,,,,
2824867,17 Apr 2025,18 Apr 2025,Available,Terraced Duplex,4,4,5,3,,120000000.0,Lekki,Lagos,,,500 sqm,500 sqm
2824864,17 Apr 2025,18 Apr 2025,Available,Terraced Duplex,4,4,5,,,90000000.0,Lekki,Lagos,,,,
2824862,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,7,7,,,600000000.0,Maitama District,Abuja,,,,"1,989 sqm"
2824860,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,3,3,4,,,85000000.0,Lekki,Lagos,,,,
2824858,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,6,6,3,,500000.0,Guzape District,Abuja,,,,
2780553,21 Mar 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,850000000.0,Lekki,Lagos,,,,
2824848,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,3,Furnished,250000000.0,Magodo,Lagos,,,,
2824836,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,250000000.0,Lekki,Lagos,,,,
2824834,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,Furnished,185000000.0,Magodo,Lagos,,,,
1839316,27 Jul 2023,02 Apr 2025,Available,Detached Duplex,6,6,7,7,,900000000.0,Lekki,Lagos,,,,
2023572,30 Nov 2023,14 Apr 2025,Available,Detached Duplex,5,5,6,6,Furnished,6418814900.0,Ikoyi,Lagos,,,,
2224264,26 Apr 2024,14 Mar 2025,Available,Semi-detached Duplex,4,4,5,3,,130000000.0,Lekki,Lagos,Serviced,,,
2517041,16 Oct 2024,02 Apr 2025,Available,Detached Duplex,5,5,6,6,,8023518625.0,Ikoyi,Lagos,,,,
2626610,18 Dec 2024,26 Feb 2025,Available,Terraced Duplex,4,4,5,3,,750000000.0,Victoria Island (VI),Lagos,Serviced,,,
2762057,11 Mar 2025,11 Mar 2025,Available,Semi-detached Duplex,4,4,5,3,,150000000.0,Lekki,Lagos,,,,
2824299,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,3,3,4,2,,75000000.0,Ajah,Lagos,,,,
2691960,30 Jan 2025,17 Mar 2025,Available,Detached Duplex,3,3,4,,,90000000.0,Lekki,Lagos,,,,
2824299,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,3,3,4,2,,75000000.0,Ajah,Lagos,,,,
2824291,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,4,,120000000.0,Ajah,Lagos,,,,
2798248,02 Apr 2025,02 Apr 2025,Available,Detached Duplex,4,4,5,4,,160000000.0,Ajah,Lagos,,,,
2800925,03 Apr 2025,03 Apr 2025,Available,Semi-detached Duplex,4,4,5,4,,180000000.0,Lekki,Lagos,,,,
2824823,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,2,,370000000.0,Jahi,Abuja,,,"1,000 sqm",
2824821,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,6,6,5,,830000000.0,Lekki,Lagos,,,,
2824815,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,,,,,900000000.0,Lekki,Lagos,,,,
1750073,25 May 2023,28 Mar 2025,Available,Semi-detached Duplex,4,4,5,2,,450000000.0,Lekki,Lagos,Serviced,,"1,200 sqm",
2152269,08 Mar 2024,28 Mar 2025,Available,Terraced Duplex,4,4,5,2,,330000000.0,Ikeja,Lagos,Serviced,,,
2824804,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,3,3,4,2,,145000000.0,Lekki,Lagos,Serviced,,,
2824796,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,3,,110000000.0,Lekki,Lagos,Serviced,,,
2824794,17 Apr 2025,17 Apr 2025,Available,House,6,,,,,800000000.0,Lekki,Lagos,,,,
2731234,20 Feb 2025,28 Mar 2025,Available,Detached Duplex,4,4,5,,,1300000000.0,Ikoyi,Lagos,,,,
2824788,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,3,,180000000.0,Kubwa,Abuja,,,,
2236081,03 May 2024,19 Apr 2025,Available,Detached Duplex,10,10,11,9,Furnished,480000000.0,Ikeja,Lagos,,,,
2824785,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,6,6,5,,530000000.0,Lekki,Lagos,,,,
2642348,03 Jan 2025,09 Apr 2025,Available,Detached Duplex,5,5,6,6,,800000000.0,Lekki,Lagos,,,960 sqm,
2824769,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,5,6,4,,420000000.0,Lekki,Lagos,,,500 sqm,500 sqm
2824764,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,2,,85000000.0,Ajah,Lagos,,,,
2824756,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,20000000.0,Lekki,Lagos,,,,
2619053,13 Dec 2024,18 Apr 2025,Available,House,3,3,4,1,Furnished,100000000.0,Lekki,Lagos,,,,
2824755,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,4,4,,400000000.0,Lekki,Lagos,,,,
2529230,22 Oct 2024,19 Apr 2025,Available,Block of Flats,3,4,4,2,Furnished,120000000.0,Jahi,Abuja,,,"9,000 sqm","4,500 sqm"
2766461,13 Mar 2025,18 Apr 2025,Available,Detached Duplex,18,20,20,15,,4700000000.0,Guzape District,Abuja,,,"2,311 sqm",
2794139,29 Mar 2025,18 Apr 2025,Available,Detached Duplex,9,11,11,,,4500000000.0,Asokoro District,Abuja,Serviced,,,
2824745,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,3,3,4,,Furnished,120000000.0,Ikeja,Lagos,,,,
2824739,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,7,7,,,750000000.0,Maitama District,Abuja,Serviced,,"1,300 sqm",
2824738,17 Apr 2025,18 Apr 2025,Available,Semi-detached Duplex,5,5,6,,,450000000.0,Lekki,Lagos,,,,
2824730,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,5,6,,,850000000.0,Lekki,Lagos,,,,
2824729,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,130000000.0,Ajah,Lagos,,,,
2824719,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,4,,150000000.0,Ajah,Lagos,,,,
2824718,17 Apr 2025,18 Apr 2025,Available,Terraced Duplex,3,3,4,,,125000000.0,Lekki,Lagos,,,,
2824714,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,5,5,3,Furnished,300000000.0,Ikeja,Lagos,,,,
2824713,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,3,3,4,,Furnished,140000000.0,Ikeja,Lagos,,,,
2824711,17 Apr 2025,18 Apr 2025,Available,Semi-detached Duplex,5,6,6,3,Furnished,750000000.0,Ikeja,Lagos,,,,
2824705,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,135000000.0,Ajah,Lagos,,,,
2824704,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,5,5,2,Furnished,340000000.0,Magodo,Lagos,,,,
2824699,17 Apr 2025,19 Apr 2025,Available,Detached Duplex,5,5,6,,,570000000.0,Lekki,Lagos,,,,
2824698,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,4,5,5,2,Furnished,300000000.0,Ikeja,Lagos,,,,
2824691,17 Apr 2025,17 Apr 2025,Available,Block of Flats,3,,,,,400000000.0,Ikeja,Lagos,,,,
2824690,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,6,,135000000.0,Ajah,Lagos,,,,
2595961,28 Nov 2024,09 Apr 2025,Available,Semi-detached Duplex,5,5,6,4,Furnished,100000000.0,Ajah,Lagos,,,325 sqm,650 sqm
2824689,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,,Furnished,150000000.0,Lekki,Lagos,,,,
2824675,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,6,,650000000.0,Lekki,Lagos,,,,
2824685,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,370000000.0,Lekki,Lagos,,,,
2824681,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,2,,120000000.0,Lekki,Lagos,,,,
2824678,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,4,,300000000.0,Ikeja,Lagos,,,,
2824677,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,230000000.0,Ajah,Lagos,,,,
2824676,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,450000000.0,Ikeja,Lagos,,,,
2824058,16 Apr 2025,16 Apr 2025,Available,Detached Duplex,5,5,6,4,,385000000.0,Lekki,Lagos,,,,
2824665,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,418000000.0,Lekki,Lagos,,,,
2824662,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,4,,140000000.0,Magodo,Lagos,,,,
2824660,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,5,5,2,Furnished,160000000.0,Magodo,Lagos,,,,
2798054,02 Apr 2025,09 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,180000000.0,Lekki,Lagos,,,,
2824657,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,3,3,4,3,,110000000.0,Lekki,Lagos,,,,
2824652,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,2,,290000000.0,Ikeja,Lagos,,,,
2824647,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,320000000.0,Lekki,Lagos,,,,
2824639,17 Apr 2025,19 Apr 2025,Available,Terraced Duplex,4,4,4,,,125000000.0,Lekki,Lagos,,,,
2824646,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,280000000.0,Lekki,Lagos,,,,
2824638,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,2,2,3,3,,120000000.0,Lekki,Lagos,,,,
2824635,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,5,5,6,4,,750000000.0,Ikeja,Lagos,,,,
2824631,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,8,8,9,,,2800000000.0,Ikoyi,Lagos,,,,
2802455,04 Apr 2025,04 Apr 2025,Available,Terraced Duplex,3,3,4,,,120000000.0,Lekki,Lagos,,,,
2824631,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,8,8,9,,,2800000000.0,Ikoyi,Lagos,,,,
2824630,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,4,,350000000.0,Magodo,Lagos,,,,
2824629,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,3,,260000000.0,Ikeja,Lagos,,,,
2824628,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,4,,,100000000.0,Ajah,Lagos,,,,
2824623,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,,,,,350000000.0,Gbagada,Lagos,,,,
2824621,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,,,230000000.0,Lekki,Lagos,,,,
2824604,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,3,3,4,3,,140000000.0,Yaba,Lagos,,,,
2692587,30 Jan 2025,17 Apr 2025,Available,Semi-detached Duplex,6,6,7,3,,320000000.0,Lekki,Lagos,Serviced,,,
2692656,30 Jan 2025,17 Apr 2025,Available,Semi-detached Duplex,4,5,5,3,,130000000.0,Lekki,Lagos,,,,
2824597,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,5,5,,,500000000.0,Ikeja,Lagos,,,,
2824588,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,5,6,6,4,,270000000.0,Lekki,Lagos,,,,
2824573,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,6,7,5,,420000000.0,Lekki,Lagos,,,,
2824568,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,,,145000000.0,Ajah,Lagos,,,,
2820476,15 Apr 2025,15 Apr 2025,Available,Detached Duplex,5,5,6,4,,450000000.0,Magodo,Lagos,,,,
2824563,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,360000000.0,Lekki,Lagos,,,,
2824560,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,,,400000000.0,Ogudu,Lagos,,,,
2824552,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,5,5,3,,320000000.0,Lekki,Lagos,,,,
2824462,17 Apr 2025,17 Apr 2025,Available,House,2,2,2,4,,410000000.0,Lekki,Lagos,,,100 sqm,100 sqm
2824548,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,,,280000000.0,Maryland,Lagos,,,,
2824542,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,4,,250000000.0,Lekki,Lagos,,,,
2351685,13 Jul 2024,14 Apr 2025,Available,House,5,6,7,5,,270000000.0,Asaba,Delta,,,600 sqm,450 sqm
2824540,17 Apr 2025,17 Apr 2025,Available,House,4,5,5,4,,400000000.0,Lekki,Lagos,,,,
2824539,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,5,5,6,,,350000000.0,Magodo,Lagos,,,,
2824537,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,5,,360000000.0,Lekki,Lagos,,,,
2824536,17 Apr 2025,18 Apr 2025,Available,Semi-detached Duplex,4,5,5,3,,360000000.0,Ikeja,Lagos,,,,
2824535,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,,,220000000.0,Magodo,Lagos,,,,
2824531,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,4,,145000000.0,Lekki,Lagos,,,,
2824524,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,3,3,4,,,160000000.0,Ibadan,Oyo,,,500 sqm,500 sqm
2824526,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,5,6,6,3,,450000000.0,Ikeja,Lagos,,,,
2824525,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,4,4,5,4,,160000000.0,Ajah,Lagos,,,,
2823999,16 Apr 2025,19 Apr 2025,Available,Semi-detached Duplex,4,4,5,4,,180000000.0,Ajah,Lagos,,,,
2824521,17 Apr 2025,17 Apr 2025,Available,House,4,4,5,4,,160000000.0,Ajah,Lagos,,,,
2824519,17 Apr 2025,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,,,250000000.0,Maryland,Lagos,,,,
2824518,17 Apr 2025,17 Apr 2025,Available,Terraced Duplex,4,4,5,3,,400000000.0,Lekki,Lagos,,,,
2824510,17 Apr 2025,18 Apr 2025,Available,Terraced Duplex,3,3,4,3,,156000000.0,Lekki,Lagos,,,,
2824515,17 Apr 2025,18 Apr 2025,Available,Detached Duplex,4,5,5,3,,520000000.0,Ikeja,Lagos,,,,
2824513,17 Apr 2025,17 Apr 2025,Available,House,4,,,,,500000000.0,Lekki,Lagos,,,,
2652166,09 Jan 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,3,,250000000.0,Ajah,Lagos,,,,
2652197,09 Jan 2025,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,240000000.0,Ajah,Lagos,,,,
2626013,18 Dec 2024,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,400000000.0,Lekki,Lagos,,,450 sqm,400 sqm
2626104,18 Dec 2024,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,2,,170000000.0,Lekki,Lagos,,,350 sqm,300 sqm
2619053,13 Dec 2024,18 Apr 2025,Available,House,3,3,4,1,Furnished,100000000.0,Lekki,Lagos,,,,
2587453,23 Nov 2024,18 Apr 2025,Available,Detached Duplex,7,9,9,,,4500000000.0,Maitama District,Abuja,Serviced,,,
2622398,16 Dec 2024,17 Apr 2025,Available,Semi-detached Duplex,4,4,5,3,,280000000.0,Lekki,Lagos,Serviced,,250 sqm,
2585547,22 Nov 2024,17 Apr 2025,Available,Detached Duplex,5,6,8,5,,350000000.0,Lekki,Lagos,,,500 sqm,450 sqm
2549353,02 Nov 2024,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,1300000000.0,Lekki,Lagos,,,500 sqm,
2521224,18 Oct 2024,17 Apr 2025,Available,Detached Duplex,5,5,7,4,,460000000.0,Lekki,Lagos,,,450 sqm,400 sqm
2524194,20 Oct 2024,17 Apr 2025,Available,Detached Duplex,5,6,7,5,,400000000.0,Lekki,Lagos,,,350 sqm,
2824506,17 Apr 2025,17 Apr 2025,Available,Detached Duplex,3,3,4,,,240000000.0,Ikeja,Lagos,,,,
2499198,07 Oct 2024,17 Apr 2025,Available,Detached Duplex,5,5,6,4,,400000000.0,Lekki,Lagos,Serviced,,600 sqm,
